((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 15, 1), (1.8884586217675219, 0.9362925121767048, 1.898720006032148))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 15, 2), (2.4661607266072316, 0.9268569647609521, 5.259652978941853))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 15, 3), (3.6966999370561315, 0.9157929420934099, 4.133087653587026))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 15, 4), (3.6240645378078593, 0.9298283088745661, 3.6718523785865456))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 15, 5), (4.580306307967558, 0.9423247781540722, 4.7489545434737845))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 15, 6), (5.812237728834159, 0.9590212203178577, 3.0374314623992418))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 15, 7), (4.7662482784260645, 0.9695497488502872, 2.739754389588489))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 15, 8), (3.2496148688919577, 0.9672193901137338, 4.646224105685125))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 15, 9), (4.042977038418396, 0.9651447960268433, 2.0288114926453957))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 15, 10), (4.412467661557412, 0.9804102674229683, 2.1348522612115444))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 15, 11), (4.854678373476737, 0.981920500406362, 2.4867588012834436))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 15, 12), (3.4739458540895076, 0.9827068638754181, 2.237872950830212))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 15, 13), (3.435333784531244, 0.9809310428548101, 2.4555212624860077))
