((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 3), ('LinearRegression', -4.81454888913845, 0.9948371598522353, 1.924384028417474))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 4), ('LinearRegression', -3.2242019127445216, 0.9936062073178894, 2.403875969155243))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 5), ('LinearRegression', 11.929715957351918, 0.9934162085269834, 2.558240024240398))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 6), ('LinearRegression', -0.6262240608963734, 0.9916317094692221, 2.408110445650115))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 7), ('LinearRegression', 2.5229399883730546, 0.9887981508954046, 2.141614188577185))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 8), ('LinearRegression', -6.0891659510281775, 0.9863879161909486, 2.155983011341724))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 9), ('LinearRegression', 3.0650037191337316, 0.9954283769674533, 1.4207020570092588))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 10), ('LinearRegression', 4.556865051291032, 0.9874758789476635, 1.566136322938271))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 11), ('LinearRegression', -0.37408179688361676, 0.9949022819234143, 1.1010581058581472))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 12), ('LinearRegression', 22.06700602271379, 0.9851265687447035, 1.5277325398431898))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 13), ('LinearRegression', -2.807823380279169, 0.9869969633012066, 1.1298236713410845))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 14), ('LinearRegression', 22.124249491896876, 0.9833899804878473, 1.4540913925916061))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 15), ('LinearRegression', -4.165061229108541, 0.9800272253655039, 1.1522075525240099))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 16), ('LinearRegression', -6.726289249924907, 0.9841099672590795, 1.0111762173410943))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 17), ('LinearRegression', 7.278982144938601, 0.9938235717395405, 0.6977620748033317))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18), ('LinearRegression', 9.849547375290578, 0.9919976411990057, 0.6842763414700193))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19), ('LinearRegression', -4.818220579224098, 0.9878886564940175, 0.5821362563854718))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20), ('LinearRegression', -11.129005317007586, 0.9626715939309145, 1.0479766311506153))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21), ('LinearRegression', 3.589549264606332, 0.9760360912464562, 0.6629794305170402))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22), ('LinearRegression', 5.672086077955377, 0.9938742220537473, 0.41832461996332965))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23), ('LinearRegression', -4.620530863005067, 0.9931615594316554, 0.36793846723291734))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 24), ('LinearRegression', 3.4610233290214554, 0.9879774062157969, 0.4911058796117932))
